uniprot_kb,symbol,synonyms,full_name
,ENSDARP00000073601,,
,ENSDARP00000080366,,
,ENSDARP00000086957,,
,ENSDNOP00000014545,,
,ENSEEUP00000008770,,
,ENSEEUP00000009503,,
,ENSEEUP00000011987,,
,ENSETEP00000000539,,
,ENSETEP00000003062,,
,ENSETEP00000003571,,
,ENSFCAP00000008461,,
,ENSGACP00000010439,,
,ENSGACP00000012144,,
,ENSGACP00000014868,,
,ENSGACP00000016097,,
,ENSGACP00000016102,,
,ENSGACP00000022722,,
,ENSGACP00000026866,,
,ENSGACP00000026867,,
,ENSGACP00000027288,,
,ENSGACP00000027402,,
,ENSGALP00000007289,,
,ENSGALP00000011389,,
,ENSGALP00000039041,,
,ENSGALP00000039046,,
,ENSLAFP00000002418,,
,ENSLAFP00000010555,,
,ENSLAFP00000014877,,
,ENSMICP00000000530,,
,ENSMICP00000004001,,
,ENSMICP00000008608,,
,ENSMICP00000012630,,
,ENSMLUP00000006501,,
,ENSMLUP00000006631,,
,ENSMMUP00000000564,,
,ENSMMUP00000017196,,
,ENSMMUP00000018217,,
,ENSMMUP00000018218,,
,ENSMMUP00000019614,,
,ENSMMUP00000024151,,
,ENSMMUP00000034718,,
,ENSMODP00000000837,,
,ENSMODP00000000910,,
,ENSMODP00000000922,,
,ENSMODP00000012986,,
,ENSMODP00000024722,,
,ENSMODP00000027467,,
,ENSMODP00000027468,,
,ENSMODP00000027469,,
,ENSMODP00000027470,,
,ENSMODP00000027471,,
,ENSMODP00000031507,,
,ENSMODP00000031508,,
,ENSMODP00000031509,,
,ENSMODP00000031510,,
,ENSMODP00000031511,,
,ENSMODP00000031513,,
,ENSMODP00000036292,,
,ENSMODP00000036294,,
,ENSMUSP00000039664,,
,ENSMUSP00000076381,,
,ENSMUSP00000078040,,
,ENSMUSP00000080239,,
,ENSMUSP00000097587,,
,ENSMUSP00000109457,,
,ENSMUSP00000111238,,
,ENSOANP00000008372,,
,ENSOANP00000008373,,
,ENSOANP00000008374,,
,ENSOANP00000009150,,
,ENSOANP00000009151,,
,ENSOANP00000016632,,
,ENSOANP00000016633,,
,ENSOANP00000020167,,
,ENSOANP00000020171,,
,ENSOGAP00000010210,,
,ENSOGAP00000012538,,
,ENSOPRP00000007793,,
,ENSOPRP00000014173,,
,ENSORLP00000001928,,
,ENSORLP00000003295,,
,ENSORLP00000007129,,
,ENSORLP00000009340,,
,ENSORLP00000009343,,
,ENSORLP00000009344,,
,ENSORLP00000009431,,
,ENSORLP00000013728,,
,ENSORLP00000020387,,
,ENSORLP00000020389,,
,ENSP00000374523,,
,ENSRNOP00000018604,,
,ENSRNOP00000033674,,
,ENSRNOP00000036940,,
,ENSRNOP00000042779,,
,ENSRNOP00000045010,,
,ENSRNOP00000052198,,
,ENSSARP00000002440,,
,ENSSARP00000004576,,
,ENSSARP00000004866,,
,ENSSTOP00000003627,,
,ENSSTOP00000011810,,
,ENSTBEP00000001597,,
,ENSTBEP00000010502,,
,ENSTBEP00000012469,,
,ENSTBEP00000013828,,
Q9VXQ2,X2JDY8,Graf,CG8948|D-Graf|DmelCG8948|Q9VXQ2_DROME,GRAF ortholog (H. sapiens)
,HR110355,,
,LG179683,,
,NV201260,,
O60890,OPHN1,ARHGAP41|MRX60|OPN1,oligophrenin 1
,OPHN1,,
,OPHN1,,
G1SSY6,OPHN1,,
Q8CA59,Q99J31,Ophn1,C130037N19Rik|Wtgr,oligophrenin 1
P0CAX5,Ophn1,Opn1,oligophrenin 1
,TR573055,,
,TR586359,,
,TR602220,,
,TR603924,,
,TR605310,,
,TR735449,,
,TR751738,,
,XT198635,,
,XT363405,,
,XT453569,,
,XT460510,,
,XT465670,,
,XT468712,,
C9J8P9,P09496,CLTA,LCA,clathrin light chain A
F7G4M4,CLTA,,
G1P7X6,CLTA,,
P04973,CLTA,CLTA2,
G1SCE4,U3KM64,CLTA,,
B1AWD8,B1AWD9,B1AWE0,B1AWE1,Q6PFA2,Clta,AV026556|Lca,clathrin, light polypeptide (Lca)
A0A0G2JYW3,P08081,Q5PPP1,Clta,LCA1|LCA2|LCA3,clathrin, light chain A
I3M5C1,Clta,,
,ENSEEUP00000009601,,
,ENSETEP00000006510,,
,ENSOGAP00000007036,,
,ENSRNOP00000034789,,
,ENSSARP00000006172,,
,AAEL013614-PB,,
,AAEL013614-PC,,
,AGAP003021-PA,,
Q16IM0,AaeL_AAEL013614,,
,BF124425,,
,BF285043,,
,Bmb007857,,
,CA152314,,
P22137,CHC1,SWA5,
,CI228204,,
,CI273032,,
Q8UUR1,CLTC,CHC,clathrin, heavy chain (Hc)
A0A087WVQ6,Q00610,CLTC,CHC|CHC17|CLH-17|CLTCL2|Hc,clathrin heavy chain
,CLTC,,
,CLTC,,
P49951,CLTC,,
,CLTC,,
,CLTC,,
,CLTCL1,,clathrin, heavy chain-like 1
,CLTCL1,,
,CLTCL1,,
,CLTCL1,,
,CLTCL1,,
P29742,X2JC31,Chc,CG9012|CHC|CLH|Cla|Clh|D-Chc|DmelCG9012|chc|chc1|dCHC|l(1)13Fb|l(1)G0438|l(1)VI,Clathrin heavy chain
Q68FD5,Cltc,3110065L21Rik|CHC|R74732,clathrin, heavy polypeptide (Hc)
P11442,Cltc,,clathrin heavy chain
I3M183,Cltcl1,,
,ENSAPMP00000013429,,
,ENSAPMP00000015498,,
,ENSAPMP00000021809,,
,ENSCPOP00000002052,,
,ENSCPOP00000004961,,
,ENSDARP00000088018,,
,ENSEEUP00000002422,,
,ENSEEUP00000014301,,
,ENSETEP00000003727,,
,ENSETEP00000009328,,
,ENSFCAP00000002525,,
,ENSGACP00000005537,,
,ENSGACP00000008975,,
,ENSGACP00000026704,,
,ENSGALP00000034243,,
,ENSGALP00000034244,,
,ENSGALP00000038478,,
,ENSLAFP00000008066,,
,ENSLAFP00000011922,,
,ENSMICP00000003278,,
,ENSMICP00000015576,,
,ENSMMUP00000007183,,
,ENSMMUP00000007184,,
,ENSMMUP00000007186,,
,ENSMMUP00000007189,,
,ENSMMUP00000013774,,
,ENSMODP00000030137,,
,ENSMUSP00000050220,,
,ENSMUSP00000098228,,
,ENSOANP00000013558,,
,ENSOANP00000013559,,
,ENSOANP00000013560,,
,ENSOGAP00000006988,,
,ENSOPRP00000002959,,
,ENSOPRP00000010661,,
,ENSORLP00000002883,,
,ENSORLP00000015241,,
,ENSORLP00000016578,,
,ENSRNOP00000052654,,
,ENSRNOP00000052656,,
,ENSSARP00000007337,,
,ENSSARP00000008950,,
,ENSSTOP00000014529,,
,ENSTBEP00000011651,,
,ENSTBEP00000013343,,
,HR189807,,
,LG187812,,
,LG233411,,
,NV163153,,
,PPA147990,,
,PPA158810,,
,PPA167464,,
,PPA227829,,
,PTA567249,,
,PTA820421,,
,PTA821354,,
,PTA829704,,
,TR619048,,
,TR712132,,
,TR735189,,
Q38B01,Tb10.70.0830,,
,VC104811,,
,XT306317,,
,XT323870,,
P34574,chc-1,,
Q10161,chc1,,
B3DK43,F1R966,Q6DRI2,cltca,cb1033|cltc|wu:fc03e11|wu:fc49a11|wu:fd07f02,clathrin, heavy chain a (Hc)
,AAEL007288-PB,,
,AGAP003018-PA,,
Q172Q5,Q172Q6,AaeL_AAEL007288,,
Q16WY5,AaeL_AAEL009068,,
Q7PWP5,AgaP_AGAP008896,AgaP_ENSANGG00000011424|ENSANGG00000011424,
,BAF07134.1,,
,BAF14514.1,,
,BF121263,,
,BF243806,,
,BF87747,,
,Bmb001973,,
,CA127789,,
,CA159349,,
,CA98909,,
,CG18102-PD,,
,CI223390,,
E1BXY4,DNM1,,dynamin 1
A0A0D9SFE4,B4DK06,B7ZAC0,Q05193,DNM1,DNM|EIEE31,dynamin 1
,DNM1,,
,DNM1,,
P54861,DNM1,,
Q08DF4,DNM1,,
,DNM1,,
Q5F469,DNM1L,,dynamin 1-like
B4DYR6,G8JLD5,O00429,DNM1L,DLP1|DRP1|DVLP|DYMPLE|EMPF|HDYNIV,dynamin 1-like
G7N6P0,DNM1L,,
,DNM1L,,
Q2KIA5,DNM1L,,
P50570,Q8N1K8,DNM2,CMT2M|CMTDI1|CMTDIB|DI-CMTB|DYN2|DYNII|LCCS5,dynamin 2
F7FF74,DNM2,,
G1PBG9,DNM2,,
A6H7I5,DNM2,,
,DNM2,,
,DNM2,,
,DNM2,,
,DNM3,,dynamin 3
Q9UQ16,DNM3,Dyna III,dynamin 3
,DNM3,,
,DNM3,,
,DNM3,,
,DNM3,,
A0A0J9YUN4,P39053,Dnm1,AI838169|Dnm|Ftfl|mKIAA4093,dynamin 1
E9PUD2,Q8K1M6,Dnm1l,6330417M19Rik|AI450666|Dlp1|Dnmlp1|Drp1|python,dynamin 1-like
O35303,Dnm1l,DLP1|Dnml1|Drp1,dynamin 1-like
G3X9G4,P39054,Q3T9X3,Q3TCR7,Dnm2,Dyn2|Udnm|b2b2159Clo,dynamin 2
P39052,Dnm2,DYIIAAB,dynamin 2
Q8BZ98,Dnm3,9630020E24Rik|AW061159|B230343F03Rik|C530045C17|mKIAA0820,dynamin 3
Q9VQE0,Drp1,CG3210|DRP|DRP1|DmelCG3210|Dnm1/Drp1|Drp|Drp-1|drp-1|drp1|frat|l(2)22Fc|l(2)22Fd|l(2)ND2|l(2)ND3,Dynamin related protein 1
,ENSAPMP00000001924,,
,ENSAPMP00000001926,,
,ENSAPMP00000017928,,
,ENSAPMP00000035962,,
,ENSBTAP00000017776,,
,ENSBTAP00000035984,,
,ENSCPOP00000000751,,
,ENSCPOP00000002085,,
,ENSCPOP00000013765,,
,ENSDARP00000004718,,
,ENSDARP00000090944,,
,ENSDARP00000090947,,
,ENSEEUP00000007020,,
,ENSEEUP00000010148,,
,ENSETEP00000005961,,
,ENSETEP00000012883,,
,ENSETEP00000014075,,
,ENSFCAP00000005419,,
,ENSFCAP00000012546,,
,ENSGACP00000005492,,
,ENSGACP00000005496,,
,ENSGACP00000005503,,
,ENSGACP00000005514,,
,ENSGACP00000005521,,
,ENSGACP00000013636,,
,ENSGACP00000014217,,
,ENSGACP00000014402,,
,ENSGACP00000021512,,
,ENSGACP00000021516,,
,ENSGACP00000021519,,
,ENSGACP00000021521,,
,ENSGACP00000021982,,
,ENSGACP00000024850,,
,ENSGACP00000025027,,
,ENSGACP00000025030,,
,ENSGACP00000025033,,
,ENSGALP00000021058,,
,ENSGALP00000039056,,
,ENSLAFP00000002843,,
,ENSLAFP00000011126,,
,ENSLAFP00000014555,,
,ENSMICP00000003115,,
,ENSMICP00000004666,,
,ENSMICP00000008890,,
,ENSMMUP00000009536,,
,ENSMMUP00000017955,,
,ENSMMUP00000018039,,
,ENSMMUP00000018041,,
,ENSMMUP00000019257,,
,ENSMMUP00000019258,,
,ENSMMUP00000031836,,
,ENSMMUP00000031837,,
,ENSMMUP00000037635,,
,ENSMMUP00000037638,,
,ENSMMUP00000039891,,
,ENSMMUP00000039999,,
,ENSMODP00000004878,,
,ENSMODP00000007523,,
,ENSMODP00000011387,,
,ENSMODP00000011390,,
,ENSMODP00000015971,,
,ENSMODP00000036490,,
,ENSMODP00000036491,,
,ENSMODP00000036492,,
,ENSMODP00000038107,,
,ENSMODP00000038110,,
,ENSMODP00000038111,,
,ENSMUSP00000002626,,
,ENSMUSP00000039033,,
,ENSMUSP00000093944,,
,ENSMUSP00000108979,,
,ENSMUSP00000108981,,
,ENSMUSP00000108984,,
,ENSMUSP00000111063,,
,ENSMUSP00000112233,,
,ENSOANP00000000640,,
,ENSOANP00000001413,,
,ENSOANP00000001414,,
,ENSOANP00000018291,,
,ENSOANP00000018292,,
,ENSOANP00000018293,,
,ENSOANP00000021094,,
,ENSOANP00000021097,,
,ENSOANP00000026067,,
,ENSOGAP00000010524,,
,ENSOPRP00000005325,,
,ENSOPRP00000013552,,
,ENSOPRP00000015032,,
,ENSORLP00000002351,,
,ENSORLP00000004517,,
,ENSORLP00000004521,,
,ENSORLP00000004524,,
,ENSORLP00000008600,,
,ENSORLP00000008817,,
,ENSORLP00000012522,,
,ENSORLP00000013418,,
,ENSORLP00000013948,,
,ENSORLP00000018724,,
,ENSORLP00000022075,,
,ENSORLP00000022077,,
,ENSORLP00000022078,,
,ENSP00000266479,,
,ENSP00000313164,,
,ENSP00000350876,,
,ENSP00000351969,,
,ENSP00000356706,,
,ENSP00000373904,,
,ENSP00000377214,,
,ENSRNOP00000002479,,
,ENSRNOP00000002485,,
,ENSRNOP00000010362,,
,ENSRNOP00000011110,,
,ENSRNOP00000040228,,
,ENSRNOP00000041582,,
,ENSRNOP00000041640,,
,ENSRNOP00000046016,,
,ENSRNOP00000046629,,
,ENSRNOP00000047444,,
,ENSRNOP00000057073,,
,ENSRNOP00000057074,,
,ENSSARP00000012235,,
,ENSSTOP00000007018,,
,ENSSTOP00000007166,,
,ENSTBEP00000004940,,
,ENSTBEP00000006688,,
,ENSTBEP00000011928,,
,HR101987,,
,HR79668,,
,LG229950,,
,LOC100022725,,
,LOC101425172,,
,NV174867,,
,NV191557,,
,PPA124455,,
,PPA130413,,
,PPA142116,,
,PPA169834,,
,PTA216844,,
,PTA292354,,
,TR141386,,
,TR598544,,
,TR601834,,
,TR615051,,
,TR615629,,
,TR619549,,
,TR713088,,
,TR750632,,
,XT186937,,
,XT340426,,
,XT412263,,
,XT464650,,
Q09748,dnm1,,
E7FC95,E9QF63,dnm1b,dnm1|si:ch73-310g9.3,dynamin 1b
Q7SXN5,dnm1l,zgc:66163,dynamin 1-like
A0A0R4IIR1,Q4V8Z7,T1SXK0,dnm2a,dnm2|zgc:114072,dynamin 2a
R4GE56,dnm3a,dnm3|si:dkey-19f21.3,dynamin 3a
P39055,dyn-1,,
A4V4I8,A4V4J0,E1JJA4,E1JJA5,M9PHQ0,M9PJN9,P27619,X2JE15,shi,CG18102|DNM3|DYN|Ddyn|Ddyn3|Ddyn4|DmelCG18102|Dyn|Shi|anon-WO0153538.12|anon-WO0153538.13|anon-WO0153538.14|dDyn|dyn|dynamin|l(1)VII|l(1)shi|shibere,shibire
,AAEL007288-PB,,
,AAL56621.1,,
,AAL56622.1,,
,AGAP003018-PA,,
Q172Q5,Q172Q6,AaeL_AAEL007288,,
Q16WY5,AaeL_AAEL009068,,
Q7PWP5,AgaP_AGAP008896,AgaP_ENSANGG00000011424|ENSANGG00000011424,
,BAF07134.1,,
,BAF14514.1,,
,BF121263,,
,BF243806,,
,BF59806,,
,BF87747,,
,Bmb001973,,
,CA159349,,
,CA98909,,
,CG18102-PD,,
,CI223390,,
E1BXY4,DNM1,,dynamin 1
A0A0D9SFE4,B4DK06,B7ZAC0,Q05193,DNM1,DNM|EIEE31,dynamin 1
,DNM1,,
,DNM1,,
P54861,DNM1,,
Q08DF4,DNM1,,
,DNM1,,
Q5F469,DNM1L,,dynamin 1-like
B4DYR6,G8JLD5,O00429,DNM1L,DLP1|DRP1|DVLP|DYMPLE|EMPF|HDYNIV,dynamin 1-like
G7N6P0,DNM1L,,
,DNM1L,,
,DNM1L,,
Q2KIA5,DNM1L,,
,DNM1L,,
G1SCF4,DNM1L,,
,DNM1L,,
P50570,Q8N1K8,DNM2,CMT2M|CMTDI1|CMTDIB|DI-CMTB|DYN2|DYNII|LCCS5,dynamin 2
F7FF74,DNM2,,
G1PBG9,DNM2,,
A6H7I5,DNM2,,
,DNM2,,
,DNM3,,dynamin 3
Q9UQ16,DNM3,Dyna III,dynamin 3
,DNM3,,
,DNM3,,
,DNM3,,
,DNM3,,
A0A0J9YUN4,P39053,Dnm1,AI838169|Dnm|Ftfl|mKIAA4093,dynamin 1
E9PUD2,Q8K1M6,Dnm1l,6330417M19Rik|AI450666|Dlp1|Dnmlp1|Drp1|python,dynamin 1-like
O35303,Dnm1l,DLP1|Dnml1|Drp1,dynamin 1-like
G3X9G4,P39054,Q3T9X3,Q3TCR7,Dnm2,Dyn2|Udnm|b2b2159Clo,dynamin 2
P39052,Dnm2,DYIIAAB,dynamin 2
Q8BZ98,Dnm3,9630020E24Rik|AW061159|B230343F03Rik|C530045C17|mKIAA0820,dynamin 3
Q9VQE0,Drp1,CG3210|DRP|DRP1|DmelCG3210|Dnm1/Drp1|Drp|Drp-1|drp-1|drp1|frat|l(2)22Fc|l(2)22Fd|l(2)ND2|l(2)ND3,Dynamin related protein 1
,ENSAPMP00000001924,,
,ENSAPMP00000017928,,
,ENSAPMP00000035962,,
,ENSBTAP00000017776,,
,ENSBTAP00000035984,,
,ENSCPOP00000002085,,
,ENSCPOP00000013765,,
,ENSDARP00000004718,,
,ENSDARP00000086457,,
,ENSDARP00000090944,,
,ENSDARP00000090947,,
,ENSEEUP00000004391,,
,ENSEEUP00000007020,,
,ENSEEUP00000010148,,
,ENSETEP00000010967,,
,ENSETEP00000012883,,
,ENSFCAP00000004941,,
,ENSGACP00000005492,,
,ENSGACP00000005496,,
,ENSGACP00000005503,,
,ENSGACP00000005514,,
,ENSGACP00000005521,,
,ENSGACP00000013636,,
,ENSGACP00000014217,,
,ENSGACP00000014402,,
,ENSGACP00000021512,,
,ENSGACP00000021516,,
,ENSGACP00000021519,,
,ENSGACP00000021521,,
,ENSGACP00000021982,,
,ENSGACP00000024850,,
,ENSGACP00000025027,,
,ENSGACP00000025030,,
,ENSGACP00000025033,,
,ENSGALP00000021058,,
,ENSGALP00000039056,,
,ENSLAFP00000014555,,
,ENSMICP00000008890,,
,ENSMICP00000016130,,
,ENSMMUP00000009536,,
,ENSMMUP00000017955,,
,ENSMMUP00000018041,,
,ENSMMUP00000019257,,
,ENSMMUP00000031836,,
,ENSMMUP00000031837,,
,ENSMMUP00000037635,,
,ENSMMUP00000037638,,
,ENSMMUP00000039999,,
,ENSMODP00000004878,,
,ENSMODP00000011387,,
,ENSMODP00000011390,,
,ENSMODP00000015971,,
,ENSMODP00000036490,,
,ENSMODP00000036491,,
,ENSMODP00000036492,,
,ENSMODP00000038107,,
,ENSMODP00000038110,,
,ENSMODP00000038111,,
,ENSMUSP00000002626,,
,ENSMUSP00000039033,,
,ENSMUSP00000093944,,
,ENSMUSP00000108979,,
,ENSMUSP00000108981,,
,ENSMUSP00000111063,,
,ENSMUSP00000112233,,
,ENSOANP00000001413,,
,ENSOANP00000001414,,
,ENSOANP00000014211,,
,ENSOANP00000018291,,
,ENSOANP00000018292,,
,ENSOANP00000018293,,
,ENSOANP00000021094,,
,ENSOANP00000026067,,
,ENSOGAP00000010524,,
,ENSOPRP00000007137,,
,ENSOPRP00000015032,,
,ENSORLP00000002351,,
,ENSORLP00000004517,,
,ENSORLP00000004521,,
,ENSORLP00000004524,,
,ENSORLP00000008600,,
,ENSORLP00000008817,,
,ENSORLP00000012522,,
,ENSORLP00000013418,,
,ENSORLP00000013948,,
,ENSORLP00000018724,,
,ENSORLP00000022075,,
,ENSORLP00000022077,,
,ENSP00000266479,,
,ENSP00000313164,,
,ENSP00000350876,,
,ENSP00000351969,,
,ENSP00000356706,,
,ENSRNOP00000002479,,
,ENSRNOP00000002485,,
,ENSRNOP00000010362,,
,ENSRNOP00000011110,,
,ENSRNOP00000040228,,
,ENSRNOP00000041582,,
,ENSRNOP00000041640,,
,ENSRNOP00000046016,,
,ENSRNOP00000046629,,
,ENSRNOP00000047444,,
,ENSRNOP00000057073,,
,ENSRNOP00000057074,,
,ENSSTOP00000007018,,
,ENSSTOP00000010681,,
,ENSTBEP00000006688,,
,HR101987,,
,HR105218,,
,HR79668,,
,LG170085,,
,LG229950,,
,LOC100022725,,
,NV174867,,
,NV191557,,
,PPA124455,,
,PPA130413,,
,PPA142116,,
,PPA169834,,
,PTA216844,,
,PTA292354,,
,TR598544,,
,TR601834,,
,TR615051,,
,TR619549,,
,TR713088,,
,TR750632,,
Q582R3,Tb927.3.4720,Tb03.48K5.290,
Q582Q9,Tb927.3.4760,Tb03.48K5.360,
P21576,VPS1,GRD1|LAM1|SPO15|VPL1|VPT26,
,XT186937,,
,XT340426,,
,XT412263,,
,XT464650,,
Q09748,dnm1,,
Q7SXN5,dnm1l,zgc:66163,dynamin 1-like
A0A0R4IIR1,Q4V8Z7,T1SXK0,dnm2a,dnm2|zgc:114072,dynamin 2a
R4GE56,dnm3a,dnm3|si:dkey-19f21.3,dynamin 3a
P39055,dyn-1,,
A4V4I8,A4V4J0,E1JJA4,E1JJA5,M9PHQ0,M9PJN9,P27619,X2JE15,shi,CG18102|DNM3|DYN|Ddyn|Ddyn3|Ddyn4|DmelCG18102|Dyn|Shi|anon-WO0153538.12|anon-WO0153538.13|anon-WO0153538.14|dDyn|dyn|dynamin|l(1)VII|l(1)shi|shibere,shibire
,AAEL007288-PB,,
,AGAP003018-PA,,
Q172Q5,Q172Q6,AaeL_AAEL007288,,
Q16WY5,AaeL_AAEL009068,,
Q7PWP5,AgaP_AGAP008896,AgaP_ENSANGG00000011424|ENSANGG00000011424,
,BAF07134.1,,
,BAF14514.1,,
,BF121263,,
,BF243806,,
,BF87747,,
,Bmb001973,,
,CA127789,,
,CA98909,,
,CG18102-PD,,
,CI223390,,
E1BXY4,DNM1,,dynamin 1
A0A0D9SFE4,B4DK06,B7ZAC0,Q05193,DNM1,DNM|EIEE31,dynamin 1
,DNM1,,
,DNM1,,
P54861,DNM1,,
Q08DF4,DNM1,,
,DNM1,,
Q5F469,DNM1L,,dynamin 1-like
B4DYR6,G8JLD5,O00429,DNM1L,DLP1|DRP1|DVLP|DYMPLE|EMPF|HDYNIV,dynamin 1-like
G7N6P0,DNM1L,,
,DNM1L,,
Q2KIA5,DNM1L,,
P50570,Q8N1K8,DNM2,CMT2M|CMTDI1|CMTDIB|DI-CMTB|DYN2|DYNII|LCCS5,dynamin 2
F7FF74,DNM2,,
G1PBG9,DNM2,,
A6H7I5,DNM2,,
,DNM2,,
,DNM2,,
,DNM2,,
,DNM3,,dynamin 3
Q9UQ16,DNM3,Dyna III,dynamin 3
,DNM3,,
,DNM3,,
,DNM3,,
,DNM3,,
A0A0J9YUN4,P39053,Dnm1,AI838169|Dnm|Ftfl|mKIAA4093,dynamin 1
E9PUD2,Q8K1M6,Dnm1l,6330417M19Rik|AI450666|Dlp1|Dnmlp1|Drp1|python,dynamin 1-like
O35303,Dnm1l,DLP1|Dnml1|Drp1,dynamin 1-like
G3X9G4,P39054,Q3T9X3,Q3TCR7,Dnm2,Dyn2|Udnm|b2b2159Clo,dynamin 2
P39052,Dnm2,DYIIAAB,dynamin 2
Q8BZ98,Dnm3,9630020E24Rik|AW061159|B230343F03Rik|C530045C17|mKIAA0820,dynamin 3
Q9VQE0,Drp1,CG3210|DRP|DRP1|DmelCG3210|Dnm1/Drp1|Drp|Drp-1|drp-1|drp1|frat|l(2)22Fc|l(2)22Fd|l(2)ND2|l(2)ND3,Dynamin related protein 1
,ENSAPMP00000001924,,
,ENSAPMP00000001926,,
,ENSAPMP00000017928,,
,ENSAPMP00000035962,,
,ENSBTAP00000017776,,
,ENSBTAP00000035984,,
,ENSCPOP00000000751,,
,ENSCPOP00000002085,,
,ENSCPOP00000013765,,
,ENSDARP00000004718,,
,ENSDARP00000090944,,
,ENSDARP00000090947,,
,ENSEEUP00000007020,,
,ENSEEUP00000010148,,
,ENSETEP00000005961,,
,ENSETEP00000012883,,
,ENSETEP00000014075,,
,ENSFCAP00000005419,,
,ENSFCAP00000012546,,
,ENSGACP00000005492,,
,ENSGACP00000005496,,
,ENSGACP00000005503,,
,ENSGACP00000005514,,
,ENSGACP00000005521,,
,ENSGACP00000013636,,
,ENSGACP00000014217,,
,ENSGACP00000014402,,
,ENSGACP00000021512,,
,ENSGACP00000021516,,
,ENSGACP00000021519,,
,ENSGACP00000021521,,
,ENSGACP00000021982,,
,ENSGACP00000024850,,
,ENSGACP00000025027,,
,ENSGACP00000025030,,
,ENSGACP00000025033,,
,ENSGALP00000021058,,
,ENSGALP00000039056,,
,ENSLAFP00000002843,,
,ENSLAFP00000011126,,
,ENSLAFP00000014555,,
,ENSMICP00000003115,,
,ENSMICP00000004666,,
,ENSMICP00000008890,,
,ENSMMUP00000009536,,
,ENSMMUP00000017955,,
,ENSMMUP00000018039,,
,ENSMMUP00000018041,,
,ENSMMUP00000019257,,
,ENSMMUP00000019258,,
,ENSMMUP00000031835,,
,ENSMMUP00000031836,,
,ENSMMUP00000031837,,
,ENSMMUP00000037635,,
,ENSMMUP00000037638,,
,ENSMMUP00000039891,,
,ENSMMUP00000039999,,
,ENSMODP00000004878,,
,ENSMODP00000007523,,
,ENSMODP00000011387,,
,ENSMODP00000011390,,
,ENSMODP00000015971,,
,ENSMODP00000036490,,
,ENSMODP00000036491,,
,ENSMODP00000036492,,
,ENSMODP00000038107,,
,ENSMODP00000038110,,
,ENSMODP00000038111,,
,ENSMUSP00000002626,,
,ENSMUSP00000039033,,
,ENSMUSP00000093944,,
,ENSMUSP00000108979,,
,ENSMUSP00000108981,,
,ENSMUSP00000111063,,
,ENSMUSP00000112233,,
,ENSOANP00000000640,,
,ENSOANP00000001413,,
,ENSOANP00000001414,,
,ENSOANP00000014211,,
,ENSOANP00000018291,,
,ENSOANP00000018292,,
,ENSOANP00000018293,,
,ENSOANP00000021094,,
,ENSOANP00000021097,,
,ENSOANP00000026067,,
,ENSOGAP00000010524,,
,ENSOPRP00000005325,,
,ENSOPRP00000013552,,
,ENSOPRP00000015032,,
,ENSORLP00000002351,,
,ENSORLP00000004517,,
,ENSORLP00000004521,,
,ENSORLP00000004524,,
,ENSORLP00000008600,,
,ENSORLP00000008817,,
,ENSORLP00000012522,,
,ENSORLP00000013418,,
,ENSORLP00000018724,,
,ENSORLP00000022075,,
,ENSORLP00000022077,,
,ENSORLP00000022078,,
,ENSP00000266479,,
,ENSP00000313164,,
,ENSP00000350876,,
,ENSP00000351969,,
,ENSP00000356706,,
,ENSP00000373904,,
,ENSP00000377214,,
,ENSRNOP00000002479,,
,ENSRNOP00000002485,,
,ENSRNOP00000010362,,
,ENSRNOP00000011110,,
,ENSRNOP00000040228,,
,ENSRNOP00000041582,,
,ENSRNOP00000041640,,
,ENSRNOP00000046016,,
,ENSRNOP00000046629,,
,ENSRNOP00000047444,,
,ENSRNOP00000057073,,
,ENSRNOP00000057074,,
,ENSSARP00000012235,,
,ENSSTOP00000007018,,
,ENSSTOP00000007166,,
,ENSTBEP00000006688,,
,ENSTBEP00000011928,,
,HR101987,,
,HR79668,,
,LG229950,,
,LOC100022725,,
,LOC101425172,,
,NV174867,,
,NV191557,,
,PPA124455,,
,PPA130413,,
,PPA142116,,
,PPA169834,,
,PTA216844,,
,PTA292354,,
,TR141386,,
,TR598544,,
,TR601834,,
,TR615051,,
,TR615629,,
,TR619549,,
,TR713088,,
,TR750632,,
P21576,VPS1,GRD1|LAM1|SPO15|VPL1|VPT26,
,XT186937,,
,XT340426,,
,XT464650,,
Q09748,dnm1,,
E7FC95,E9QF63,dnm1b,dnm1|si:ch73-310g9.3,dynamin 1b
Q7SXN5,dnm1l,zgc:66163,dynamin 1-like
A0A0R4IIR1,Q4V8Z7,T1SXK0,dnm2a,dnm2|zgc:114072,dynamin 2a
R4GE56,dnm3a,dnm3|si:dkey-19f21.3,dynamin 3a
P39055,dyn-1,,
A4V4I8,A4V4J0,E1JJA4,E1JJA5,M9PHQ0,M9PJN9,P27619,X2JE15,shi,CG18102|DNM3|DYN|Ddyn|Ddyn3|Ddyn4|DmelCG18102|Dyn|Shi|anon-WO0153538.12|anon-WO0153538.13|anon-WO0153538.14|dDyn|dyn|dynamin|l(1)VII|l(1)shi|shibere,shibire
,AAEL007288-PB,,
,AGAP003018-PA,,
Q172Q5,Q172Q6,AaeL_AAEL007288,,
Q16WY5,AaeL_AAEL009068,,
Q7PWP5,AgaP_AGAP008896,AgaP_ENSANGG00000011424|ENSANGG00000011424,
,BAF07134.1,,
,BAF14514.1,,
,BF121263,,
,BF243806,,
,BF59806,,
,BF87747,,
